2026-02-11 01:53:51,868 [INFO] theta033_xy03_N301: "main" start >>>>>>>>>>
2026-02-11 01:54:01,475 [INFO] theta033_xy03_N301: progress: 0.11 %, estimated time: 8695.11 [sec]
2026-02-11 01:54:10,253 [INFO] theta033_xy03_N301: progress: 0.22 %, estimated time: 8310.37 [sec]
2026-02-11 01:54:18,410 [INFO] theta033_xy03_N301: progress: 0.33 %, estimated time: 7989.31 [sec]
2026-02-11 01:54:27,857 [INFO] theta033_xy03_N301: progress: 0.44 %, estimated time: 8115.78 [sec]
2026-02-11 01:54:37,259 [INFO] theta033_xy03_N301: progress: 0.55 %, estimated time: 8179.59 [sec]
2026-02-11 01:54:46,289 [INFO] theta033_xy03_N301: progress: 0.66 %, estimated time: 8163.28 [sec]
2026-02-11 01:54:55,350 [INFO] theta033_xy03_N301: progress: 0.77 %, estimated time: 8153.09 [sec]
2026-02-11 01:55:04,469 [INFO] theta033_xy03_N301: progress: 0.88 %, estimated time: 8149.63 [sec]
2026-02-11 01:55:13,579 [INFO] theta033_xy03_N301: progress: 0.99 %, estimated time: 8144.01 [sec]
2026-02-11 01:55:22,782 [INFO] theta033_xy03_N301: progress: 1.10 %, estimated time: 8146.02 [sec]
2026-02-11 01:55:31,700 [INFO] theta033_xy03_N301: progress: 1.21 %, estimated time: 8122.79 [sec]
2026-02-11 01:55:41,219 [INFO] theta033_xy03_N301: progress: 1.32 %, estimated time: 8146.74 [sec]
2026-02-11 01:55:50,262 [INFO] theta033_xy03_N301: progress: 1.43 %, estimated time: 8132.88 [sec]
2026-02-11 01:55:59,220 [INFO] theta033_xy03_N301: progress: 1.55 %, estimated time: 8114.25 [sec]
2026-02-11 01:56:08,306 [INFO] theta033_xy03_N301: progress: 1.66 %, estimated time: 8104.51 [sec]
2026-02-11 01:56:17,360 [INFO] theta033_xy03_N301: progress: 1.77 %, estimated time: 8093.13 [sec]
2026-02-11 01:56:26,504 [INFO] theta033_xy03_N301: progress: 1.88 %, estimated time: 8086.65 [sec]
2026-02-11 01:56:35,518 [INFO] theta033_xy03_N301: progress: 1.99 %, estimated time: 8073.53 [sec]
2026-02-11 01:56:44,775 [INFO] theta033_xy03_N301: progress: 2.10 %, estimated time: 8072.13 [sec]
2026-02-11 01:56:54,214 [INFO] theta033_xy03_N301: progress: 2.21 %, estimated time: 8078.03 [sec]
